INFO  - 2017-06-17 18:31:24.971; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-06-17 18:31:25.021; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/contexts at interval 0
INFO  - 2017-06-17 18:31:25.037; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2017-06-17 18:31:25.159; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/webapps/solr.war!/ to /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2017-06-17 18:31:28.259; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-06-17 18:31:28.370; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-06-17 18:31:28.396; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-06-17 18:31:28.397; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-06-17 18:31:28.400; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-06-17 18:31:28.664; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/solr.xml
INFO  - 2017-06-17 18:31:28.847; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr
INFO  - 2017-06-17 18:31:28.861; org.apache.solr.core.CoreContainer; New CoreContainer 1110031167
INFO  - 2017-06-17 18:31:28.862; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-06-17 18:31:28.879; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-06-17 18:31:28.879; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-06-17 18:31:28.895; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-06-17 18:31:28.901; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-06-17 18:31:28.902; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-06-17 18:31:28.902; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-06-17 18:31:28.903; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-06-17 18:31:28.903; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-06-17 18:31:28.904; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-06-17 18:31:28.904; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-06-17 18:31:29.430; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-06-17 18:31:29.433; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-06-17 18:31:29.436; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-06-17 18:31:29.449; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-06-17 18:32:04.525; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr
INFO  - 2017-06-17 18:32:04.543; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/
INFO  - 2017-06-17 18:32:04.543; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-06-17 18:32:04.546; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/'
INFO  - 2017-06-17 18:32:04.747; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-06-17 18:32:04.751; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-06-17 18:32:04.752; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-06-17 18:32:04.753; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-06-17 18:32:04.753; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-06-17 18:32:04.754; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-06-17 18:32:04.754; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-06-17 18:32:04.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-06-17 18:32:04.755; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.756; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-06-17 18:32:04.756; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-06-17 18:32:04.757; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
